Name;Team;Cl;Position;G;Solo Tack;Asst Tack;TT;FF;Int;Int Ret Yds;Int Ret TDs;Rejected/Blocked;Targeted;Rank;Solo Sack;Asst Sack;Sack Yds;Tot Sack
Quinn Perry;Colorado;Sr.;LB;12;43.0;21.0;64.0;;;;;;;;;;;
R.J. Roderick;South Carolina;Sr.;DB;12;40.0;24.0;64.0;;;;;;;;;;;
A.J. Brathwaite, Jr.;Western Ky.;So.;DB;12;39.0;25.0;64.0;;;;;;;;;;;
Jaquan Brisker;Penn St.;Sr.;S;12;38.0;26.0;64.0;;;;;;;;;;;
Alvin Floyd;Ohio;Sr.;DB;12;33.0;31.0;64.0;;;;;;;;;;;
A.J. DeShazor Jr.;South Alabama;Jr.;LB;12;30.0;34.0;64.0;;;;;;;;;;;
Caleb Bonner;Arkansas St.;Sr.;LB;12;25.0;39.0;64.0;;;;;;;;;;;
Cam'Ron Kelly;North Carolina;Jr.;DB;13;40.0;29.0;69.0;;;;;;;;;;;
Kitan Oladapo;Oregon St.;So.;DB;13;37.0;32.0;69.0;;;;;;;;;;;
Terry Jones;Old Dominion;Fr.;S;13;32.0;37.0;69.0;;;;;;;;;;;
Josh DeBerry;Boston College;Jr.;CB;10;38.0;15.0;53.0;;;;;;;;;;;
Lance Deveaux;Northern Ill.;Sr.;LB;14;47.0;27.0;74.0;;;;;;;;;;;
John Petrishen;Pittsburgh;Sr.;LB;14;29.0;45.0;74.0;;;;;;;;;;;
Jordan Hansen;Northern Ill.;So.;S;11;42.0;16.0;58.0;;;;;;;;;;;
TJ Harris;Troy;Jr.;S;11;33.0;25.0;58.0;;;;;;;;;;;
Jabari Johnson;ULM;Sr.;S;11;30.0;28.0;58.0;;;;;;;;;;;
Kevon Jones;UConn;Sr.;LB;11;16.0;42.0;58.0;;;;;;;;;;;
Christian Harris;Alabama;Jr.;LB;15;45.0;34.0;79.0;;;;;;;;;;;
Tony Adams;Illinois;Sr.;DB;12;47.0;16.0;63.0;;;;;;;;;;;
Jamal Ligon;UTSA;So.;LB;12;28.0;35.0;63.0;;;;;;;;;;;
Jaylon Carlies;Missouri;So.;DB;13;55.0;13.0;68.0;;;;;;;;;;;
Corvin Moment;Western Mich.;Jr.;LB;13;50.0;18.0;68.0;;;;;;;;;;;
C.J. Coldon;Wyoming;Jr.;CB;13;48.0;20.0;68.0;;;;;;;;;;;
Zaire Barnes;Western Mich.;Jr.;LB;13;45.0;23.0;68.0;;;;;;;;;;;
T.D. Roof;App State;Sr.;LB;13;41.0;27.0;68.0;;;;;;;;;;;
Cory McCoy;Marshall;Sr.;S;13;30.0;38.0;68.0;;;;;;;;;;;
Phil Campbell;Pittsburgh;Sr.;LB;13;27.0;41.0;68.0;;;;;;;;;;;
Adam Sparks;ULM;Sr.;CB;9;28.0;19.0;47.0;;;;;;;;;;;
Devon Witherspoon;Illinois;So.;DB;10;42.0;10.0;52.0;;;;;;;;;;;
Garrett Williams;Syracuse;So.;DB;10;36.0;16.0;52.0;;;;;;;;;;;
Delarrin Turner-Yell;Oklahoma;Sr.;S;10;35.0;17.0;52.0;;;;;;;;;;;
Isaiah Pola-Mao;Southern California;Sr.;S;11;41.0;16.0;57.0;;;;;;;;;;;
Donte Lindsey;Massachusetts;So.;DB;11;38.0;19.0;57.0;;;;;;;;;;;
Alex Odom;Temple;So.;S;11;38.0;19.0;57.0;;;;;;;;;;;
Dy'vonne Inyang;UTEP;Sr.;DB;11;35.0;22.0;57.0;;;;;;;;;;;
Daniel Isom;Washington St.;Sr.;DB;11;27.0;30.0;57.0;;;;;;;;;;;
Dadrion Taylor-Demerson;Texas Tech;Jr.;DB;12;41.0;21.0;62.0;;;;;;;;;;;
Javon Scruggs;Liberty;Jr.;S;12;39.0;23.0;62.0;;;;;;;;;;;
Arnold Ebiketie;Penn St.;Sr.;DE;12;34.0;28.0;62.0;;;;;;;;;;;
Markees Watts;Charlotte;Sr.;DE;12;34.0;28.0;62.0;;;;;;;;;;;
Gabe Reid;Stanford;Sr.;LB;12;33.0;29.0;62.0;;;;;;;;;;;
Antonio Moultrie;UAB;Jr.;DL;12;24.0;38.0;62.0;;;;;;;;;;;
Brett Anderson;Ball St.;Sr.;S;13;47.0;20.0;67.0;;;;;;;;;;;
Nick Cross;Maryland;Jr.;DB;13;45.0;22.0;67.0;;;;;;;;;;;
Kieren Douglas;Purdue;Sr.;LB;13;40.0;27.0;67.0;;;;;;;;;;;
Nick Anderson;Tulane;Jr.;LB;11;40.0;16.0;56.0;;;;;;;;;;;
JoJuan Claiborne;Nevada;Sr.;DB;12;44.0;17.0;61.0;;;;;;;;;;;
Bryce Jackson;UNLV;Sr.;DB;12;42.0;19.0;61.0;;;;;;;;;;;
Kyron Johnson;Kansas;Sr.;DE;12;41.0;20.0;61.0;;;;;;;;;;;
Alontae Taylor;Tennessee;Sr.;DB;12;41.0;20.0;61.0;;;;;;;;;;;
Curtis Jacobs;Penn St.;So.;LB;12;39.0;22.0;61.0;;;;;;;;;;;
Kam Arnold;Boston College;So.;LB;12;35.0;26.0;61.0;;;;;;;;;;;
Jesse Luketa;Penn St.;Sr.;LB;12;34.0;27.0;61.0;;;;;;;;;;;
Ralen Goforth;Southern California;Jr.;LB;12;31.0;30.0;61.0;;;;;;;;;;;
Da'Quan Johnson;Duke;So.;S;12;29.0;32.0;61.0;;;;;;;;;;;
Mike Brown;Miami (OH);Sr.;DB;13;37.0;29.0;66.0;;;;;;;;;;;
Jaden Hunter;Western Ky.;Jr.;DE;13;35.0;31.0;66.0;;;;;;;;;;;
Cameron Thomas;San Diego St.;Jr.;DL;14;30.0;41.0;71.0;;;;;;;;;;;
Nick Rattin;Northern Ill.;So.;LB;14;29.0;42.0;71.0;;;;;;;;;;;
Erick Hallett;Pittsburgh;Jr.;DB;14;45.0;25.0;70.0;;;;;;;;;;;
Kolby Harvell-Peel;Oklahoma St.;Sr.;S;14;42.0;28.0;70.0;;;;;;;;;;;
Ty Van Fossen;Cincinnati;Jr.;LB;14;42.0;28.0;70.0;;;;;;;;;;;
Traveon Redd;Wake Forest;Sr.;DB;14;40.0;30.0;70.0;;;;;;;;;;;
J.T. Wahee;Ball St.;Sr.;S;13;52.0;13.0;65.0;;;;;;;;;;;
Tre Bugg III;Air Force;Sr.;DB;13;50.0;15.0;65.0;;;;;;;;;;;
George Hicks III;Washington St.;Sr.;DB;13;45.0;20.0;65.0;;;;;;;;;;;
Cam Allen;Purdue;Jr.;S;13;44.0;21.0;65.0;;;;;;;;;;;
Keith Sherald Jr.;Kent St.;Sr.;DB;13;42.0;23.0;65.0;;;;;;;;;;;
Trenton Simpson;Clemson;So.;LB;13;41.0;24.0;65.0;;;;;;;;;;;
Damani Staley;South Carolina;Sr.;LB;13;40.0;25.0;65.0;;;;;;;;;;;
Christian Albright;Ball St.;Sr.;LB;13;34.0;31.0;65.0;;;;;;;;;;;
Ty'Ron Hopper;Florida;So.;LB;13;34.0;31.0;65.0;;;;;;;;;;;
Jimmy Phillips, Jr.;SMU;Sr.;LB;12;39.0;21.0;60.0;;;;;;;;;;;
Jamoi Hodge;TCU;So.;LB;12;36.0;24.0;60.0;;;;;;;;;;;
Marlowe Wax;Syracuse;So.;LB;12;36.0;24.0;60.0;;;;;;;;;;;
Corey Flagg, Jr.;Miami (FL);So.;LB;12;35.0;25.0;60.0;;;;;;;;;;;
Hayes Maples;Southern Miss.;So.;LB;12;31.0;29.0;60.0;;;;;;;;;;;
Cameron Lewis;LSU;Sr.;DB;11;34.0;21.0;55.0;;;;;;;;;;;
Thomas Pickens;Memphis;Sr.;LB;10;35.0;15.0;50.0;;;;;;;;;;;
Matthew Hill;South Fla.;So.;S;10;33.0;17.0;50.0;;;;;;;;;;;
Melique Straker;Arkansas St.;So.;LB;10;30.0;20.0;50.0;;;;;;;;;;;
Daxton Hill;Michigan;Jr.;DB;14;41.0;28.0;69.0;;;;;;;;;;;
Nick Hampton;App State;Jr.;LB;14;36.0;33.0;69.0;;;;;;;;;;;
Mykael Wright;Oregon;So.;CB;13;46.0;18.0;64.0;;;;;;;;;;;
Jalen Graham;Purdue;Jr.;LB;13;45.0;19.0;64.0;;;;;;;;;;;
Smoke Monday;Auburn;Sr.;DB;13;44.0;20.0;64.0;;;;;;;;;;;
Nick Herbig;Wisconsin;So.;LB;13;41.0;23.0;64.0;;;;;;;;;;;
Cedrick Cunningham Jr.;Army West Point;Sr.;DB;13;35.0;29.0;64.0;;;;;;;;;;;
Tommy Eichenberg;Ohio St.;Jr.;LB;13;33.0;31.0;64.0;;;;;;;;;;;
Alex Spillum;Coastal Carolina;Sr.;S;13;30.0;34.0;64.0;;;;;;;;;;;
Leon O'Neal;Texas A&M;Sr.;DB;12;38.0;21.0;59.0;;;;;;;;;;;
Keith Gallmon Jr.;South Alabama;Jr.;S;12;37.0;22.0;59.0;;;;;;;;;;;
Jaxen Turner;Arizona;So.;DB;12;34.0;25.0;59.0;;;;;;;;;;;
Jordan Revels;Texas St.;So.;DL;12;29.0;30.0;59.0;;;;;;;;;;;
Thomas Booker;Stanford;Sr.;DE;12;28.0;31.0;59.0;;;;;;;;;;;
Hunter Webb;UConn;Jr.;LB;12;27.0;32.0;59.0;;;;;;;;;;;
Teja Young;Fla. Atlantic;So.;S;12;25.0;34.0;59.0;;;;;;;;;;;
Amari Gainer;Florida St.;So.;LB;12;24.0;35.0;59.0;;;;;;;;;;;
Dorian Mausi;Duke;So.;LB;12;23.0;36.0;59.0;;;;;;;;;;;
Quentin Lake;UCLA;Sr.;DB;11;40.0;14.0;54.0;;;;;;;;;;;
Reggie Pearson;Texas Tech;Jr.;DB;11;38.0;16.0;54.0;;;;;;;;;;;
BeeJay Williamson;Louisiana Tech;So.;DB;11;31.0;23.0;54.0;;;;;;;;;;;
Jarren Hampton;Ohio;Sr.;DB;10;26.0;23.0;49.0;;;;;;;;;;;
Jeremiah Moon;Florida;Sr.;LB;10;20.0;29.0;49.0;;;;;;;;;;;
Lewis Cine;Georgia;Jr.;DB;15;43.0;30.0;73.0;;;;;;;;;;;
Deandre Pierce;Arizona St.;Sr.;DB;13;38.0;25.0;63.0;;;;;;;;;;;
Ron Stone, Jr.;Washington St.;Jr.;DE;13;34.0;29.0;63.0;;;;;;;;;;;
Jose Ramirez;Eastern Mich.;So.;DL;13;32.0;31.0;63.0;;;;;;;;;;;
Keidron Smith;Ole Miss;Sr.;DB;13;31.0;32.0;63.0;;;;;;;;;;;
Will Boler;UAB;Jr.;S;13;30.0;33.0;63.0;;;;;;;;;;;
Greg Rubin;Memphis;Fr.;DB;12;38.0;20.0;58.0;;;;;;;;;;;
Edgerrin Cooper;Texas A&M;Fr.;LB;12;37.0;21.0;58.0;;;;;;;;;;;
Malik Dixon;UConn;Jr.;DB;12;37.0;21.0;58.0;;;;;;;;;;;
Kivon Bennett;Arkansas St.;Jr.;DL;12;28.0;30.0;58.0;;;;;;;;;;;
Josh Pearcy;Rice;Fr.;LB;12;24.0;34.0;58.0;;;;;;;;;;;
AJ Thomas;Western Mich.;Sr.;DB;11;42.0;11.0;53.0;;;;;;;;;;;
Will Ignont;Western Ky.;Jr.;LB;11;32.0;21.0;53.0;;;;;;;;;;;
Alec Mock;Air Force;So.;LB;11;32.0;21.0;53.0;;;;;;;;;;;
Josh Wallace;Massachusetts;Sr.;CB;11;32.0;21.0;53.0;;;;;;;;;;;
Tyshon Fogg;Rutgers;Sr.;LB;11;21.0;32.0;53.0;;;;;;;;;;;
Nakobe Dean;Georgia;Jr.;LB;15;36.0;36.0;72.0;;;;;;;;;;;
Zion Puckett;Auburn;So.;DB;10;35.0;13.0;48.0;;;;;;;;;;;
Noah Williams;Stanford;Sr.;S;9;28.0;15.0;43.0;;;;;;;;;;;
Yvandy Rigby;Temple;So.;LB;9;21.0;22.0;43.0;;;;;;;;;;;
Tayler Hawkins;San Diego St.;Sr.;DB;13;48.0;14.0;62.0;;;;;;;;;;;
Ruben Hyppolite II;Maryland;So.;LB;13;39.0;23.0;62.0;;;;;;;;;;;
Dillon Thomas;Northern Ill.;Sr.;DB;13;35.0;27.0;62.0;;;;;;;;;;;
Kerby Joseph;Illinois;Jr.;DB;12;41.0;16.0;57.0;;;;;;;;;;;
Quinton Newsome;Nebraska;So.;DB;12;38.0;19.0;57.0;;;;;;;;;;;
Joe Ozougwu;Arkansas St.;Sr.;DL;12;33.0;24.0;57.0;;;;;;;;;;;
Jordan Anderson;Bowling Green;Jr.;DB;12;31.0;26.0;57.0;;;;;;;;;;;
Zayin West;Kent St.;Sr.;DL;12;30.0;27.0;57.0;;;;;;;;;;;
Quae Drake;ULM;Sr.;LB;12;27.0;30.0;57.0;;;;;;;;;;;
Demarvin Leal;Texas A&M;Jr.;DL;12;27.0;30.0;57.0;;;;;;;;;;;
Garrett Nelson;Nebraska;So.;LB;12;25.0;32.0;57.0;;;;;;;;;;;
Bruce Bivens;East Carolina;Sr.;LB;12;22.0;35.0;57.0;;;;;;;;;;;
D.J. Davidson;Arizona St.;Sr.;DL;12;21.0;36.0;57.0;;;;;;;;;;;
Nook Bradford;TCU;Jr.;S;11;41.0;11.0;52.0;;;;;;;;;;;
Nick Giacolone;New Mexico St.;So.;LB;11;25.0;27.0;52.0;;;;;;;;;;;
Santrell Latham;Southern Miss.;Jr.;LB;11;24.0;28.0;52.0;;;;;;;;;;;
Kempton Shine;Eastern Mich.;Fr.;DB;10;27.0;20.0;47.0;;;;;;;;;;;
Cedric Boswell;Miami (OH);Sr.;DB;13;50.0;11.0;61.0;;;;;;;;;;;
Carrington Valentine;Kentucky;So.;DB;13;46.0;15.0;61.0;;;;;;;;;;;
Yasir Abdullah;Louisville;Sr.;LB;13;43.0;18.0;61.0;;;;;;;;;;;
Malachi Langley;Fresno St.;So.;LB;13;38.0;23.0;61.0;;;;;;;;;;;
Percy Butler;Louisiana;Jr.;S;13;37.0;24.0;61.0;;;;;;;;;;;
Jack Fagot;Louisville;Sr.;DB;13;37.0;24.0;61.0;;;;;;;;;;;
Colby Wooden;Auburn;So.;DL;13;34.0;27.0;61.0;;;;;;;;;;;
Malkelm Morrison;Army West Point;Sr.;LB;13;29.0;32.0;61.0;;;;;;;;;;;
Gabe Taylor;Rice;Fr.;DB;12;44.0;12.0;56.0;;;;;;;;;;;
Ja'Quan McMillian;East Carolina;So.;CB;12;38.0;18.0;56.0;;;;;;;;;;;
Isheem Young;Iowa St.;So.;DB;12;33.0;23.0;56.0;;;;;;;;;;;
Jaiden Woodbey;Boston College;Jr.;S;12;29.0;27.0;56.0;;;;;;;;;;;
Andre White;Texas A&M;Jr.;LB;12;27.0;29.0;56.0;;;;;;;;;;;
Shaine Hailey;SMU;Sr.;LB;12;26.0;30.0;56.0;;;;;;;;;;;
Alvinoski LaFleur;Eastern Mich.;Sr.;DB;11;33.0;18.0;51.0;;;;;;;;;;;
William Kwenkeu;Temple;Sr.;LB;11;31.0;20.0;51.0;;;;;;;;;;;
Caeveon Patton;Texas St.;Sr.;DL;11;21.0;30.0;51.0;;;;;;;;;;;
Emmanuel Forbes;Mississippi St.;So.;DB;13;46.0;14.0;60.0;;;;;;;;;;;
Eugene Ford;Hawaii;Sr.;DB;13;41.0;19.0;60.0;;;;;;;;;;;
Scott Nelson;Wisconsin;Sr.;S;13;40.0;20.0;60.0;;;;;;;;;;;
Corvan Taylor;Air Force;Sr.;DB;13;33.0;27.0;60.0;;;;;;;;;;;
Greg Eisworth;Iowa St.;Sr.;DB;13;32.0;28.0;60.0;;;;;;;;;;;
Cole Mashburn;Memphis;So.;LB;10;26.0;20.0;46.0;;;;;;;;;;;
Johnathan Butler;Middle Tenn.;Jr.;LB;10;21.0;25.0;46.0;;;;;;;;;;;
Jadon Candy;Tulane;Fr.;DB;12;42.0;13.0;55.0;;;;;;;;;;;
Jartavius Martin;Illinois;Jr.;DB;12;33.0;22.0;55.0;;;;;;;;;;;
Josh Carr;Southern Miss.;Jr.;LB;12;32.0;23.0;55.0;;;;;;;;;;;
Jay Stanley;Southern Miss.;So.;DB;12;30.0;25.0;55.0;;;;;;;;;;;
Drew White;Notre Dame;Sr.;LB;12;30.0;25.0;55.0;;;;;;;;;;;
Te'Rai Powell;Massachusetts;Fr.;DB;12;28.0;27.0;55.0;;;;;;;;;;;
Jordan Genmark Heath;UCLA;Sr.;LB;12;23.0;32.0;55.0;;;;;;;;;;;
Felix Anudike-Uzomah;Kansas St.;So.;DE;13;;;;6.0;;;;;;;;;;
Isaiah Foskey;Notre Dame;Jr.;DL;13;;;;6.0;;;;;;;;;;
Arron Mosby;Fresno St.;Sr.;DE;13;;;;6.0;;;;;;;;;;
Michael McMorris;Navy;Sr.;DB;12;;;;5.0;;;;;;;;;;
Jordan Lee;Nevada;Sr.;DB;13;;;;5.0;;;;;;;;;;
Will McDonald;Iowa St.;Jr.;DE;13;;;;5.0;;;;;;;;;;
Darius Muasau;Hawaii;Jr.;LB;13;;;;5.0;;;;;;;;;;
Santrell Latham;Southern Miss.;Jr.;LB;11;;;;4.0;;;;;;;;;;
Nick Heninger;Utah St.;Sr.;DE;14;;;;5.0;;;;;;;;;;
David Ojabo;Michigan;Jr.;LB;14;;;;5.0;;;;;;;;;;
Mitchell Agude;UCLA;Sr.;LB;12;;;;4.0;;;;;;;;;;
DeWayne Carter;Duke;So.;DL;12;;;;4.0;;;;;;;;;;
Elijah Hicks;California;Sr.;S;12;;;;4.0;;;;;;;;;;
Kyron Johnson;Kansas;Sr.;DE;12;;;;4.0;;;;;;;;;;
Issiah Nixon;Texas St.;Fr.;LB;12;;;;4.0;;;;;;;;;;
Scott Patchan;Colorado St.;Sr.;DL;12;;;;4.0;;;;;;;;;;
Marcus Valdez;Boston College;Sr.;DE;9;;;;3.0;;;;;;;;;;
Chance Campbell;Ole Miss;Sr.;LB;13;;;;4.0;;;;;;;;;;
Andre Carter II;Army West Point;Jr.;LB;13;;;;4.0;;;;;;;;;;
Cam Goode;UCF;Jr.;DL;13;;;;4.0;;;;;;;;;;
D'Anthony Jones;Houston;Jr.;DL;13;;;;4.0;;;;;;;;;;
Alonzo McCoy;Central Mich.;Sr.;DB;13;;;;4.0;;;;;;;;;;
Vince Sanford;Air Force;Jr.;LB;13;;;;4.0;;;;;;;;;;
Sam Williams;Ole Miss;Sr.;DL;13;;;;4.0;;;;;;;;;;
DeAngelo Malone;Western Ky.;Sr.;DE;14;;;;4.0;;;;;;;;;;
Malcolm Rodriguez;Oklahoma St.;Sr.;LB;14;;;;4.0;;;;;;;;;;
Jack Jones;Arizona St.;Sr.;DB;11;;;;3.0;;;;;;;;;;
Teagan Wilk;East Carolina;Fr.;S;11;;;;3.0;;;;;;;;;;
Turner Coxe;SMU;Sr.;DE;12;;;;3.0;;;;;;;;;;
Jordan Domineck;Georgia Tech;So.;DL;12;;;;3.0;;;;;;;;;;
Viliami Fehoko;San Jose St.;Jr.;DL;12;;;;3.0;;;;;;;;;;
Gerrell Johnson;Massachusetts;Fr.;LB;12;;;;3.0;;;;;;;;;;
George Karlaftis;Purdue;Jr.;DE;12;;;;3.0;;;;;;;;;;
Jackson Mitchell;UConn;Jr.;LB;12;;;;3.0;;;;;;;;;;
R.J. Oben;Duke;So.;DL;12;;;;3.0;;;;;;;;;;
Chris Ojoh;New Mexico St.;Jr.;LB;12;;;;3.0;;;;;;;;;;
Luke Reimer;Nebraska;So.;LB;12;;;;3.0;;;;;;;;;;
Isaiah Thomas;Oklahoma;Sr.;DL;12;;;;3.0;;;;;;;;;;
Ji'Ayir Brown;Penn St.;Sr.;S;13;;;;;6.0;112.0;1.0;;;;;;;
Brandon Sebastian;Boston College;Sr.;CB;9;;;;;4.0;0.0;0.0;;;;;;;
Verone McKinley III;Oregon;So.;DB;14;;;;;6.0;-1.0;0.0;;;;;;;
JT Woods;Baylor;Sr.;S;14;;;;;6.0;109.0;1.0;;;;;;;
Kerby Joseph;Illinois;Jr.;DB;12;;;;;5.0;12.0;0.0;;;;;;;
Ja'Quan McMillian;East Carolina;So.;CB;12;;;;;5.0;42.0;1.0;;;;;;;
Darrell Luter Jr.;South Alabama;Jr.;CB;10;;;;;4.0;29.0;0.0;;;;;;;
Khoury Bethley;Hawaii;Sr.;DB;13;;;;;5.0;120.0;1.0;;;;;;;
Montaric Brown;Arkansas;Sr.;DB;13;;;;;5.0;0.0;0.0;;;;;;;
Jaylan Foster;South Carolina;Sr.;DB;13;;;;;5.0;39.0;0.0;;;;;;;
Marcus Jones;Houston;Sr.;CB;13;;;;;5.0;2.0;0.0;;;;;;;
Antavious Lane;Georgia St.;So.;DB;13;;;;;5.0;73.0;1.0;;;;;;;
Riley Moss;Iowa;Sr.;DB;11;;;;;4.0;85.0;2.0;;;;;;;
Jermaine Waller;Virginia Tech;Jr.;DB;11;;;;;4.0;67.0;1.0;;;;;;;
Dane Belton;Iowa;Jr.;DB;14;;;;;5.0;0.0;0.0;;;;;;;
Steven Jones;App State;Sr.;DB;14;;;;;5.0;97.0;3.0;;;;;;;
Macon Clark;Tulane;Jr.;S;12;;;;;4.0;78.0;0.0;;;;;;;
Daiyan Henley;Nevada;Sr.;LB;12;;;;;4.0;59.0;1.0;;;;;;;
TieNeal Martin;Tulsa;Sr.;DB;12;;;;;4.0;0.0;0.0;;;;;;;
Jammie Robinson;Florida St.;So.;DB;12;;;;;4.0;77.0;0.0;;;;;;;
Warren Saba;East Carolina;Sr.;S;12;;;;;4.0;31.0;0.0;;;;;;;
Naeem Smith;Rice;Sr.;S;12;;;;;4.0;22.0;0.0;;;;;;;
Cam Allen;Purdue;Jr.;S;13;;;;;4.0;31.0;0.0;;;;;;;
Jaylon Carlies;Missouri;So.;DB;13;;;;;4.0;51.0;0.0;;;;;;;
Jermari Harris;Iowa;So.;DB;13;;;;;4.0;0.0;0.0;;;;;;;
Cam'Ron Kelly;North Carolina;Jr.;DB;13;;;;;4.0;24.0;0.0;;;;;;;
Montre Miller;Kent St.;Jr.;DB;13;;;;;4.0;3.0;0.0;;;;;;;
Jaylin Thomas;Ball St.;Sr.;LB;13;;;;;4.0;54.0;0.0;;;;;;;
Russ Yeast;Kansas St.;Sr.;DB;13;;;;;4.0;11.0;0.0;;;;;;;
Darien Butler;Arizona St.;Sr.;LB;10;;;;;3.0;0.0;0.0;;;;;;;
Samy Johnson;Arkansas St.;So.;DB;10;;;;;3.0;23.0;0.0;;;;;;;
Max Melton;Rutgers;Fr.;DB;10;;;;;3.0;46.0;1.0;;;;;;;
Delarrin Turner-Yell;Oklahoma;Sr.;S;10;;;;;3.0;0.0;0.0;;;;;;;
Devin Lloyd;Utah;Jr.;LB;14;;;;;4.0;36.0;2.0;;;;;;;
Patrick McMorris;San Diego St.;Jr.;DB;14;;;;;4.0;61.0;0.0;;;;;;;
Deshawn Pace;Cincinnati;So.;LB;14;;;;;4.0;78.0;0.0;;;;;;;
Xavion Alford;Southern California;Fr.;S;11;;;;;3.0;0.0;0.0;;;;;;;
Joey Blount;Virginia;Sr.;DB;11;;;;;3.0;60.0;0.0;;;;;;;
Andrew Booth Jr.;Clemson;Jr.;CB;11;;;;;3.0;0.0;0.0;;;;;;;
Phillip Hill;UNLV;Jr.;DB;11;;;;;3.0;35.0;0.0;;;;;;;
Dy'vonne Inyang;UTEP;Sr.;DB;11;;;;;3.0;28.0;0.0;;;;;;;
Ricky Johnson;UNLV;So.;DB;11;;;;;3.0;1.0;0.0;;;;;;;
Jack Jones;Arizona St.;Sr.;DB;11;;;;;3.0;-1.0;0.0;;;;;;;
Quentin Lake;UCLA;Sr.;DB;11;;;;;3.0;23.0;0.0;;;;;;;
John Saunders Jr.;Miami (OH);So.;DB;11;;;;;3.0;66.0;1.0;;;;;;;
Cam Smith;South Carolina;So.;DB;11;;;;;3.0;10.0;0.0;;;;;;;
Collin Wilder;Wisconsin;Sr.;S;11;;;;;3.0;53.0;0.0;;;;;;;
Tyson Williams;Nevada;Sr.;DB;11;;;;;3.0;67.0;1.0;;;;;;;
BeeJay Williamson;Louisiana Tech;So.;DB;11;;;;;3.0;62.0;1.0;;;;;;;
Derion Kendrick;Georgia;Sr.;CB;15;;;;;4.0;14.0;0.0;;;;;;;
Ja'Quan McMillian;East Carolina;So.;CB;12;;;;;5.0;;;16.0;21.0;;;;;
Cortez Davis;Hawaii;Sr.;DB;13;;;;;1.0;;;18.0;19.0;;;;;
Nehemiah Shelton;San Jose St.;Sr.;DB;10;;;;;2.0;;;12.0;14.0;;;;;
Darrell Luter Jr.;South Alabama;Jr.;CB;10;;;;;4.0;;;10.0;14.0;;;;;
Samuel Womack;Toledo;Sr.;CB;13;;;;;2.0;;;16.0;18.0;;;;;
Marcus Jones;Houston;Sr.;CB;13;;;;;5.0;;;13.0;18.0;;;;;
Roger McCreary;Auburn;Sr.;DB;12;;;;;2.0;;;14.0;16.0;;;;;
Jakorian Bennett;Maryland;Sr.;DB;12;;;;;3.0;;;13.0;16.0;;;;;
Cam Smith;South Carolina;So.;DB;11;;;;;3.0;;;11.0;14.0;;;;;
Trenton Thompson;San Diego St.;Sr.;DB;14;;;;;3.0;;;14.0;17.0;;;;;
Bobby Brown, II;San Jose St.;Sr.;DB;11;;;;;0.0;;;13.0;13.0;;;;;
Roger Cray;Old Dominion;Sr.;CB;11;;;;;1.0;;;12.0;13.0;;;;;
Kyu Blu Kelly;Stanford;Jr.;CB;11;;;;;2.0;;;11.0;13.0;;;;;
Greg Rubin;Memphis;Fr.;DB;12;;;;;0.0;;;14.0;14.0;;;;;
Micah Abraham;Marshall;So.;DB;13;;;;;1.0;;;14.0;15.0;;;;;
Donte Kent;Central Mich.;Fr.;DB;13;;;;;1.0;;;14.0;15.0;;;;;
Andre Carter II;Army West Point;Jr.;LB;13;;;;;;;;;;1;14.0;3.0;88.0;15.5
Will Anderson Jr.;Alabama;So.;LB;15;;;;;;;;;;2;16.0;3.0;108.0;17.5
Aidan Hutchinson;Michigan;Sr.;DE;14;;;;;;;;;;3;12.0;4.0;73.0;14.0
Ali Fayad;Western Mich.;Sr.;DL;13;;;;;;;;;;-;11.0;4.0;79.0;13.0
Jermaine Johnson;Florida St.;Sr.;DE;12;;;;;;;;;;-;10.0;4.0;72.0;12.0
Josaiah Stewart;Coastal Carolina;Fr.;DE;13;;;;;;;;;;6;11.0;3.0;76.0;12.5
Javon Solomon;Troy;Fr.;DE;12;;;;;;;;;;7;10.0;2.0;67.0;11.0
Tristan Nichols;Nevada;Sr.;DT;11;;;;;;;;;;8;9.0;2.0;60.0;10.0
Will McDonald;Iowa St.;Jr.;DE;13;;;;;;;;;;9;10.0;3.0;75.0;11.5
Scott Patchan;Colorado St.;Sr.;DL;12;;;;;;;;;;10;9.0;3.0;79.0;10.5
Felix Anudike-Uzomah;Kansas St.;So.;DE;13;;;;;;;;;;11;11.0;0.0;56.0;11.0
Isaiah Foskey;Notre Dame;Jr.;DL;13;;;;;;;;;;-;11.0;0.0;127.0;11.0
Collin Oliver;Oklahoma St.;Fr.;DE;14;;;;;;;;;;13;11.0;1.0;76.0;11.5
Cameron Thomas;San Diego St.;Jr.;DL;14;;;;;;;;;;-;10.0;3.0;63.0;11.5
Sam Williams;Ole Miss;Sr.;DL;13;;;;;;;;;;15;10.0;1.0;58.0;10.5
Arnold Ebiketie;Penn St.;Sr.;DE;12;;;;;;;;;;16;9.0;1.0;62.0;9.5
Nick Hampton;App State;Jr.;LB;14;;;;;;;;;;17;11.0;0.0;55.0;11.0
David Ojabo;Michigan;Jr.;LB;14;;;;;;;;;;-;10.0;2.0;86.0;11.0
Yasir Abdullah;Louisville;Sr.;LB;13;;;;;;;;;;19;10.0;0.0;77.0;10.0
Jamal Hines;Toledo;Jr.;DE;13;;;;;;;;;;-;8.0;4.0;52.0;10.0
